,No_of_Reviews,Company_Industry,IL,WA,MD,DC,NC,Other_states,Consulting and Business Services,Internet and Software,Banks and Financial Services,Health Care,Insurance,Other_industries
156,112.0,,0,0,0,0,0,0,0,0,0,0,0,0
157,36.0,,0,0,0,0,0,0,0,0,0,0,0,0
158,3826.0,Computers and Electronics,0,0,0,0,0,0,0,0,0,0,0,1
159,2153.0,Banks and Financial Services,0,0,0,0,1,0,0,0,1,0,0,0
160,573.0,Health Care,0,0,0,0,0,1,0,0,0,1,0,0
161,1652.0,Industrial Manufacturing,0,0,0,0,0,1,0,0,0,0,0,1
162,0.0,,0,0,0,0,0,1,0,0,0,0,0,0
163,86.0,,0,0,1,0,0,0,0,0,0,0,0,0
164,4615.0,Health Care,0,0,0,0,0,0,0,0,0,1,0,0
165,428.0,Education and Schools,0,0,0,0,0,1,0,0,0,0,0,1
166,81.0,Consulting and Business Services,0,0,0,0,0,1,1,0,0,0,0,0
167,3532.0,Banks and Financial Services,0,0,0,0,0,1,0,0,1,0,0,0
168,2174.0,Insurance,0,0,0,0,0,0,0,0,0,0,1,0
169,14987.0,Consulting and Business Services,0,0,0,0,0,0,1,0,0,0,0,0
170,1008.0,Health Care,0,0,0,0,0,1,0,0,0,1,0,0
171,1764.0,Health Care,0,0,0,0,0,1,0,0,0,1,0,0
172,504.0,Auto,0,0,0,0,0,1,0,0,0,0,0,1
173,692.0,Consulting and Business Services,0,0,0,0,0,1,1,0,0,0,0,0
174,302.0,Industrial Manufacturing,0,0,0,0,0,1,0,0,0,0,0,1
175,23.0,Consulting and Business Services,0,0,0,0,0,0,1,0,0,0,0,0
176,14.0,Aerospace and Defense,0,0,0,0,0,1,0,0,0,0,0,1
177,14.0,Aerospace and Defense,0,0,0,0,0,1,0,0,0,0,0,1
178,3484.0,Transport and Freight,0,0,0,0,1,0,0,0,0,0,0,1
179,14629.0,Banks and Financial Services,0,0,0,0,0,0,0,0,1,0,0,0
180,81.0,Consulting and Business Services,0,0,0,0,0,1,1,0,0,0,0,0
181,11.0,,0,0,0,0,0,0,0,0,0,0,0,0
182,216.0,,0,0,0,0,0,1,0,0,0,0,0,0
183,216.0,,0,0,0,0,0,1,0,0,0,0,0,0
184,1531.0,Internet and Software,0,0,0,0,0,0,0,1,0,0,0,0
185,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
186,4776.0,Consulting and Business Services,0,0,0,0,0,1,1,0,0,0,0,0
187,99.0,Health Care,0,0,0,0,0,0,0,0,0,1,0,0
188,294.0,Real Estate,0,0,0,0,0,0,0,0,0,0,0,1
189,2705.0,Industrial Manufacturing,0,0,0,0,0,1,0,0,0,0,0,1
190,2705.0,Industrial Manufacturing,0,0,0,0,0,1,0,0,0,0,0,1
191,2705.0,Industrial Manufacturing,0,0,0,0,0,1,0,0,0,0,0,1
192,1574.0,Transport and Freight,0,0,0,0,0,1,0,0,0,0,0,1
193,4811.0,Auto,0,0,0,0,0,1,0,0,0,0,0,1
194,258.0,Health Care,0,0,1,0,0,0,0,0,0,1,0,0
195,150.0,Education and Schools,0,0,0,0,0,0,0,0,0,0,0,1
196,5.0,,0,0,0,0,0,1,0,0,0,0,0,0
197,4776.0,Consulting and Business Services,0,0,0,0,0,1,1,0,0,0,0,0
198,78.0,Government,0,0,0,0,0,1,0,0,0,0,0,1
199,4776.0,Consulting and Business Services,0,0,0,0,0,1,1,0,0,0,0,0
200,4776.0,Consulting and Business Services,1,0,0,0,0,0,1,0,0,0,0,0
201,14.0,Aerospace and Defense,0,0,0,0,0,1,0,0,0,0,0,1
202,14.0,Aerospace and Defense,0,0,0,0,0,1,0,0,0,0,0,1
203,610.0,Health Care,0,0,0,0,0,1,0,0,0,1,0,0
204,21.0,Health Care,0,0,0,0,0,0,0,0,0,1,0,0
205,1733.0,Consulting and Business Services,0,0,0,0,1,0,1,0,0,0,0,0
206,6415.0,Aerospace and Defense,0,0,1,0,0,0,0,0,0,0,0,1
207,10491.0,Internet and Software,1,0,0,0,0,0,0,1,0,0,0,0
208,31.0,Human Resources and Staffing,0,0,1,0,0,0,0,0,0,0,0,1
209,5.0,,0,0,0,0,0,1,0,0,0,0,0,0
210,7197.0,Consulting and Business Services,0,0,0,0,0,1,1,0,0,0,0,0
211,1434.0,Insurance,0,0,0,0,0,1,0,0,0,0,1,0
212,8.0,Aerospace and Defense,0,0,0,0,0,1,0,0,0,0,0,1
213,51.0,,0,0,1,0,0,0,0,0,0,0,0,0
214,2426.0,Auto,0,0,0,0,0,0,0,0,0,0,0,1
215,7.0,Human Resources and Staffing,0,0,0,0,0,1,0,0,0,0,0,1
216,1837.0,Consulting and Business Services,0,0,0,0,0,1,1,0,0,0,0,0
217,7197.0,Consulting and Business Services,0,0,0,0,0,0,1,0,0,0,0,0
218,98.0,,0,0,1,0,0,0,0,0,0,0,0,0
219,82.0,Internet and Software,0,1,0,0,0,0,0,1,0,0,0,0
220,7197.0,Consulting and Business Services,0,0,0,0,0,1,1,0,0,0,0,0
221,4776.0,Consulting and Business Services,0,0,0,0,0,1,1,0,0,0,0,0
222,4776.0,Consulting and Business Services,0,0,0,0,0,1,1,0,0,0,0,0
223,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
224,8.0,Aerospace and Defense,0,0,0,0,0,1,0,0,0,0,0,1
225,2978.0,Aerospace and Defense,0,0,0,0,0,0,0,0,0,0,0,1
226,2078.0,Industrial Manufacturing,0,0,0,0,0,0,0,0,0,0,0,1
227,253.0,Health Care,0,0,0,0,0,1,0,0,0,1,0,0
228,275.0,Real Estate,0,0,0,0,0,1,0,0,0,0,0,1
229,4776.0,Consulting and Business Services,0,0,0,0,0,1,1,0,0,0,0,0
230,4776.0,Consulting and Business Services,0,0,0,0,0,1,1,0,0,0,0,0
231,4776.0,Consulting and Business Services,0,0,0,0,0,0,1,0,0,0,0,0
232,100.0,,0,0,1,0,0,0,0,0,0,0,0,0
233,18.0,Consulting and Business Services,0,0,0,0,0,0,1,0,0,0,0,0
234,4776.0,Consulting and Business Services,0,0,0,0,0,0,1,0,0,0,0,0
235,18.0,Consulting and Business Services,0,0,0,0,0,0,1,0,0,0,0,0
236,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
237,4776.0,Consulting and Business Services,1,0,0,0,0,0,1,0,0,0,0,0
238,4776.0,Consulting and Business Services,0,0,0,1,0,0,1,0,0,0,0,0
239,4776.0,Consulting and Business Services,0,0,0,0,0,0,1,0,0,0,0,0
240,8.0,Aerospace and Defense,0,0,0,0,0,0,0,0,0,0,0,1
241,4683.0,Industrial Manufacturing,0,0,0,0,0,1,0,0,0,0,0,1
242,91.0,Aerospace and Defense,0,0,0,0,0,0,0,0,0,0,0,1
243,9.0,,0,0,0,0,0,0,0,0,0,0,0,0
244,4776.0,Consulting and Business Services,0,0,0,1,0,0,1,0,0,0,0,0
245,4776.0,Consulting and Business Services,0,0,0,0,0,1,1,0,0,0,0,0
246,4776.0,Consulting and Business Services,0,0,0,0,0,1,1,0,0,0,0,0
247,1837.0,Consulting and Business Services,0,0,0,0,0,1,1,0,0,0,0,0
248,4776.0,Consulting and Business Services,0,0,1,0,0,0,1,0,0,0,0,0
249,4776.0,Consulting and Business Services,0,1,0,0,0,0,1,0,0,0,0,0
250,7197.0,Consulting and Business Services,0,0,0,0,0,1,1,0,0,0,0,0
251,91.0,Aerospace and Defense,0,0,0,0,0,0,0,0,0,0,0,1
252,7197.0,Consulting and Business Services,0,0,0,0,0,1,1,0,0,0,0,0
253,7197.0,Consulting and Business Services,0,0,0,0,0,0,1,0,0,0,0,0
254,4776.0,Consulting and Business Services,0,0,0,0,0,1,1,0,0,0,0,0
255,4776.0,Consulting and Business Services,0,0,0,0,0,0,1,0,0,0,0,0
256,4.0,,0,0,0,0,0,0,0,0,0,0,0,0
257,607.0,Education and Schools,0,0,0,0,0,0,0,0,0,0,0,1
258,484.0,Internet and Software,0,0,0,0,0,0,0,1,0,0,0,0
259,81.0,Banks and Financial Services,0,0,0,0,0,1,0,0,1,0,0,0
260,0.0,,0,0,0,0,0,1,0,0,0,0,0,0
261,4776.0,Consulting and Business Services,0,0,0,0,0,1,1,0,0,0,0,0
262,4776.0,Consulting and Business Services,1,0,0,0,0,0,1,0,0,0,0,0
263,7197.0,Consulting and Business Services,0,0,0,0,0,0,1,0,0,0,0,0
264,4776.0,Consulting and Business Services,0,0,0,0,0,1,1,0,0,0,0,0
265,4776.0,Consulting and Business Services,0,0,0,0,0,0,1,0,0,0,0,0
266,1086.0,Health Care,0,0,0,0,0,0,0,0,0,1,0,0
267,91.0,Aerospace and Defense,0,0,0,0,0,0,0,0,0,0,0,1
268,13.0,Consulting and Business Services,0,0,0,0,0,0,1,0,0,0,0,0
269,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
270,324.0,Consulting and Business Services,0,0,0,0,0,0,1,0,0,0,0,0
271,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
272,91.0,Aerospace and Defense,0,0,0,0,0,0,0,0,0,0,0,1
273,420.0,Government,0,0,0,0,0,0,0,0,0,0,0,1
274,4.0,,0,0,0,0,0,0,0,0,0,0,0,0
275,4776.0,Consulting and Business Services,0,0,0,0,0,0,1,0,0,0,0,0
276,3826.0,Computers and Electronics,0,0,0,0,0,1,0,0,0,0,0,1
277,4776.0,Consulting and Business Services,1,0,0,0,0,0,1,0,0,0,0,0
278,417.0,Internet and Software,0,0,0,0,0,0,0,1,0,0,0,0
279,7197.0,Consulting and Business Services,0,0,0,0,0,0,1,0,0,0,0,0
280,4776.0,Consulting and Business Services,0,0,0,0,0,1,1,0,0,0,0,0
281,27.0,,0,0,0,0,0,1,0,0,0,0,0,0
282,197.0,Consumer Goods and Services,0,0,0,0,0,1,0,0,0,0,0,1
283,4251.0,Internet and Software,0,0,0,0,0,0,0,1,0,0,0,0
284,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
285,514.0,Auto,0,0,0,0,0,0,0,0,0,0,0,1
286,6574.0,Consumer Goods and Services,0,0,0,0,0,1,0,0,0,0,0,1
287,15.0,,0,1,0,0,0,0,0,0,0,0,0,0
288,689.0,Education and Schools,0,0,0,0,0,0,0,0,0,0,0,1
289,198.0,Insurance,0,0,0,0,0,1,0,0,0,0,1,0
290,255.0,Insurance,0,0,0,0,0,0,0,0,0,0,1,0
291,3649.0,Internet and Software,0,0,0,0,0,0,0,1,0,0,0,0
292,0.0,,0,0,0,0,0,1,0,0,0,0,0,0
293,3148.0,Energy and Utilities,0,0,0,0,0,0,0,0,0,0,0,1
294,0.0,,0,0,0,0,0,1,0,0,0,0,0,0
295,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
296,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
297,9229.0,Telecommunications,0,0,0,0,0,1,0,0,0,0,0,1
298,5.0,,0,0,0,0,0,1,0,0,0,0,0,0
299,31.0,,0,0,0,0,0,1,0,0,0,0,0,0
300,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
301,4327.0,Aerospace and Defense,0,0,0,0,0,1,0,0,0,0,0,1
302,17054.0,Food and Beverages,0,0,0,0,0,1,0,0,0,0,0,1
303,146.0,,0,0,0,0,0,1,0,0,0,0,0,0
304,54.0,,0,0,0,0,0,1,0,0,0,0,0,0
305,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
306,12326.0,Telecommunications,0,0,0,0,0,1,0,0,0,0,0,1
307,687.0,Insurance,0,0,0,0,0,1,0,0,0,0,1,0
308,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
309,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
310,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
311,5178.0,Internet and Software,0,1,0,0,0,0,0,1,0,0,0,0
312,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
313,3.0,Real Estate,0,0,0,0,0,0,0,0,0,0,0,1
314,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
315,2.0,,0,0,0,0,0,1,0,0,0,0,0,0
316,1198.0,,0,0,0,0,0,0,0,0,0,0,0,0
317,80.0,Real Estate,0,1,0,0,0,0,0,0,0,0,0,1
318,8955.0,Retail,0,1,0,0,0,0,0,0,0,0,0,1
319,72.0,,0,0,0,0,0,1,0,0,0,0,0,0
320,375.0,,0,0,0,0,0,1,0,0,0,0,0,0
321,841.0,Health Care,0,0,0,0,0,1,0,0,0,1,0,0
322,157456.0,Retail,0,0,0,0,0,1,0,0,0,0,0,1
323,550.0,Banks and Financial Services,0,0,0,0,0,1,0,0,1,0,0,0
324,514.0,Auto,0,0,0,0,0,0,0,0,0,0,0,1
325,157456.0,Retail,0,0,0,0,0,0,0,0,0,0,0,1
326,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
327,63.0,,0,0,0,0,0,1,0,0,0,0,0,0
328,190.0,,0,0,0,0,0,1,0,0,0,0,0,0
329,1378.0,Industrial Manufacturing,0,0,0,0,0,1,0,0,0,0,0,1
330,1378.0,Industrial Manufacturing,0,0,0,0,0,1,0,0,0,0,0,1
331,0.0,,1,0,0,0,0,0,0,0,0,0,0,0
332,2066.0,Consulting and Business Services,0,0,0,0,0,1,1,0,0,0,0,0
333,190.0,,0,0,0,0,0,1,0,0,0,0,0,0
334,3505.0,,0,0,0,0,0,1,0,0,0,0,0,0
335,276.0,Industrial Manufacturing,0,0,0,0,0,1,0,0,0,0,0,1
336,19.0,Human Resources and Staffing,0,0,0,0,0,1,0,0,0,0,0,1
337,39.0,Internet and Software,0,0,0,0,0,0,0,1,0,0,0,0
338,1401.0,Auto,0,0,0,0,0,1,0,0,0,0,0,1
339,1086.0,Health Care,0,0,0,0,0,0,0,0,0,1,0,0
340,43.0,Banks and Financial Services,0,0,0,0,0,1,0,0,1,0,0,0
341,1287.0,Industrial Manufacturing,0,0,0,0,1,0,0,0,0,0,0,1
342,157456.0,Retail,0,0,0,0,0,1,0,0,0,0,0,1
343,20.0,Internet and Software,0,0,0,0,0,1,0,1,0,0,0,0
344,91.0,Telecommunications,0,0,0,0,0,1,0,0,0,0,0,1
345,30.0,,0,0,0,0,0,1,0,0,0,0,0,0
346,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
347,5611.0,Energy and Utilities,0,0,0,0,0,1,0,0,0,0,0,1
348,34.0,Banks and Financial Services,0,0,0,0,0,0,0,0,1,0,0,0
349,3649.0,Internet and Software,0,0,0,0,0,0,0,1,0,0,0,0
350,3.0,,0,0,0,0,0,0,0,0,0,0,0,0
351,183.0,Banks and Financial Services,0,0,0,0,0,1,0,0,1,0,0,0
352,310.0,Health Care,0,0,0,0,0,1,0,0,0,1,0,0
353,0.0,,0,0,0,0,0,1,0,0,0,0,0,0
354,903.0,Health Care,0,0,0,0,0,0,0,0,0,1,0,0
355,1022.0,Pharmaceuticals,0,0,0,0,0,0,0,0,0,0,0,1
356,11.0,Internet and Software,0,0,0,1,0,0,0,1,0,0,0,0
357,3532.0,Banks and Financial Services,0,0,0,0,0,1,0,0,1,0,0,0
358,17.0,,0,0,1,0,0,0,0,0,0,0,0,0
359,20.0,Internet and Software,0,0,0,0,0,1,0,1,0,0,0,0
360,431.0,Construction,0,0,0,0,0,0,0,0,0,0,0,1
361,103.0,,0,0,0,0,0,0,0,0,0,0,0,0
362,7.0,,1,0,0,0,0,0,0,0,0,0,0,0
363,1733.0,Consulting and Business Services,0,0,1,0,0,0,1,0,0,0,0,0
364,31970.0,Telecommunications,0,0,0,0,0,1,0,0,0,0,0,1
365,5178.0,Internet and Software,0,1,0,0,0,0,0,1,0,0,0,0
366,421.0,Internet and Software,0,0,0,0,0,0,0,1,0,0,0,0
367,72.0,,0,0,0,0,0,1,0,0,0,0,0,0
368,397.0,Internet and Software,0,0,0,0,0,0,0,1,0,0,0,0
369,191.0,Energy and Utilities,0,0,0,0,0,1,0,0,0,0,0,1
370,549.0,Computers and Electronics,0,0,0,0,0,1,0,0,0,0,0,1
371,0.0,,0,0,0,0,0,1,0,0,0,0,0,0
372,0.0,,0,0,0,0,0,0,0,0,0,0,0,0
373,20.0,Internet and Software,0,0,0,0,0,1,0,1,0,0,0,0
374,344.0,Health Care,0,0,0,0,0,1,0,0,0,1,0,0
375,8164.0,Health Care,0,0,0,0,0,0,0,0,0,1,0,0
376,50.0,Industrial Manufacturing,0,0,0,0,0,1,0,0,0,0,0,1
