Job_Title,Queried_Salary,Job_Type,Skill,No_of_Skills,Company,No_of_Reviews,No_of_Stars,Location,Company_Revenue,Company_Employees,Company_Industry,python,sql,machine learning,r,hadoop,tableau,sas,spark,java,Others,CA,NY,VA,TX,MA,IL,WA,MD,DC,NC,Other_states,Consulting and Business Services,Internet and Software,Banks and Financial Services,Health Care,Insurance,Other_industries
Senior Data Scientist,100000-119999,data_scientist,"['Linux', 'AI', 'Data Mining', 'Machine Learning', 'Data Management', 'Hadoop', 'SQL', 'Big Data', 'Natural Language Processing', 'MongoDB', 'NoSQL', 'Data Science', 'Python', 'AWS']",14,Deloitte,7197,4,NY,Missing,"10,000+",Consulting and Business Services,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Data Scientist - Healthcare Analytics,100000-119999,data_scientist,"['Hive', 'Data Mining', 'Hadoop', 'SQL', 'Excel', 'Tableau', 'Big Data', 'Python']",8,EXL,1208,4,CT,Missing,"Less than 10,000",Consulting and Business Services,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Senior Data Scientist | DataRaker R&D Team,100000-119999,data_scientist,"['Java', 'Spark', 'Scala', 'Oracle', 'Python']",5,Oracle,4361,4,VA,More than $10B (USD),"10,000+",Internet and Software,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Scientist, Machine Learning",100000-119999,data_scientist,"['Java', 'Molecular Biology', 'Ruby', 'Machine Learning', 'R', 'Python', 'C/C++']",7,Flagship Pioneering,0,0,MA,Missing,missing,Not Listed,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Senior Data Scientist (Marketing Analytics),100000-119999,data_scientist,"['Statistical Software', 'Spark', 'Hadoop', 'Marketing', 'R', 'Python', 'SQL']",7,Zillow Group,80,4,WA,Less than $1B (USD),"Less than 10,000",Real Estate,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Senior Dashboard Data Scientist (1013609),100000-119999,data_scientist,"['JavaScript', 'R', 'SAS', 'SQL', 'JSON', 'STATA', 'SPSS', 'Python', 'PHP']",9,California State University,878,4,CA,Missing,"Less than 10,000",Education and Schools,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Associate, Data Scientist, Financial Services",100000-119999,data_scientist,"['Linux', 'AI', 'Data Mining', 'Machine Learning', 'Hadoop', 'Scripting', 'R', 'Azure', 'Natural Language Processing', 'Spark', 'OOP', 'Python', 'AWS']",13,KPMG LLP,4776,4,WA,Missing,missing,Consulting and Business Services,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Machine Learning & Big Data Researcher,100000-119999,data_scientist,"['TensorFlow', 'Linux', 'Machine Learning', 'Solr', 'C/C++', 'LDAP', 'HTML5', 'SQL', 'iOS', 'MySQL', 'MATLAB', 'Jenkins', 'Spring', 'JavaScript', 'Hadoop', 'Kafka', 'Java', 'Maven', 'MongoDB', 'Spark']",20,Intelligent Automation,6,4,MD,Missing,missing,Not Listed,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Principal Data Scientist,100000-119999,data_scientist,"['AI', 'Machine Learning', 'Marketing', 'Azure', 'C/C++', 'Java', 'Python']",7,Microsoft,5178,4,WA,More than $10B (USD),"10,000+",Internet and Software,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Data Scientist (PhD-Level),100000-119999,data_scientist,"['Machine Learning', 'R', 'C/C++', 'Python']",4,Lubrizol,216,4,OH,Missing,missing,Not Listed,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Data Scientist (PhD-Level),100000-119999,data_scientist,"['Machine Learning', 'R', 'C/C++', 'Python']",4,Lubrizol,216,4,OH,Missing,missing,Not Listed,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Principal Data Scientist - Data Hub (Utilzation Mgt),100000-119999,data_scientist,"['Machine Learning', 'Statisical Analysis']",2,Aetna,3656,4,CT,More than $10B (USD),"10,000+",Insurance,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Senior Data Scientist - REMOTE,100000-119999,data_scientist,"['Machine Learning', 'R', 'SQL', 'Tableau']",4,Harnham,6,5,CA,Missing,"Less than 10,000",Consulting and Business Services,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Data Science Cognitive/Machine Learning Professional 2,100000-119999,data_scientist,"['Natural Language Processing', 'Machine Learning', 'Data Management', 'SPSS', 'SAS', 'Python', 'SQL']",7,Humana,4686,4,KY,More than $10B (USD),"10,000+",Health Care,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Data Scientist,100000-119999,data_scientist,"['Information Security', 'Data Mining', 'Machine Learning', 'Network', 'Scala', 'Kafka', 'C/C++', 'Java', 'Big Data', 'Natural Language Processing', 'Spark', 'Data Analysis', 'Python']",13,Solidus Technical Solutions,0,0,MA,Missing,missing,Not Listed,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Analytic Consultant 5 (Data Scientist) - Customer Analytics...,100000-119999,data_scientist,"['Machine Learning', 'R', 'SAS', 'SQL', 'Data Science', 'Python', 'Military Experience']",7,Wells Fargo,29963,4,AZ,More than $10B (USD),"10,000+",Banks and Financial Services,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Machine Learning/Deep Learning Scientist,100000-119999,data_scientist,"['TensorFlow', 'Machine Learning', 'Git', 'Python', 'C/C++', 'Bioinformatics']",6,DNAnexus,0,0,CA,Missing,missing,Not Listed,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General - NLP Scientist,100000-119999,data_scientist,"['AI', 'Machine Learning', 'Hadoop', 'Scala', 'C/C++', 'Java', 'Natural Language Processing', 'Spark', 'Data Analysis', 'OOP', 'Python']",11,JD.com,8,4,CA,Missing,missing,Not Listed,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Associate, Data Scientist, Financial Services",100000-119999,data_scientist,"['Linux', 'AI', 'Data Mining', 'Machine Learning', 'Hadoop', 'Scripting', 'R', 'Azure', 'Natural Language Processing', 'Spark', 'OOP', 'Python', 'AWS']",13,KPMG LLP,4776,4,DC,Missing,missing,Consulting and Business Services,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Data Scientist (Journeyman),100000-119999,data_scientist,"['JavaScript', 'Pig', 'Data Mining', 'Machine Learning', 'R', 'SQL', 'Java', 'S3', 'Python', 'GIS']",10,Obsidian Solutions Group,7,3,VA,Missing,missing,Not Listed,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,100000-119999,data_scientist,"['Big Data', 'Natural Language Processing', 'AI', 'Machine Learning', 'R', 'SAS', 'Python', 'SQL']",8,Diverse Lynx,82,5,MI,Missing,missing,Internet and Software,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"Data Scientist, Marketing - Ecommerce",100000-119999,data_scientist,"['Machine Learning', 'Python', 'SQL']",3,Harnham,6,5,CA,Missing,"Less than 10,000",Consulting and Business Services,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Data Scientist,100000-119999,data_scientist,"['Machine Learning', 'TS/SCI Clearance', 'Microsoft Office']",3,Engility,495,4,VA,Less than $1B (USD),"Less than 10,000",Aerospace and Defense,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Data Scientist - Digital Attribution Developer,100000-119999,data_scientist,"['Machine Learning', 'R', 'Marketing', 'Scala', 'SQL', 'Big Data', 'Spark', 'Python']",8,Nielsen,2066,4,MA,Missing,"10,000+",Consulting and Business Services,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Senior Healthcare Data Scientist -Predictive Analytics,100000-119999,data_scientist,"['Statistical Software', 'Data Mining', 'Machine Learning', 'R', 'SAS', 'SQL', 'Python']",7,Cigna,3293,4,NC,More than $10B (USD),"10,000+",Insurance,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Data Scientist - Modern Lifestyle Brand,100000-119999,data_scientist,"['Machine Learning', 'R', 'Python', 'SQL', 'Tableau']",5,Harnham,6,5,CA,Missing,"Less than 10,000",Consulting and Business Services,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Machine Learning Research Scientist,100000-119999,data_scientist,"['TensorFlow', 'Laboratory Experience', 'Data Mining', 'Machine Learning', 'Image Processing']",5,Butterfly Network,0,0,NY,Missing,missing,Not Listed,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Computer Science Data Scientist,100000-119999,data_scientist,"['Machine Learning', 'TS/SCI Clearance', 'Hadoop', 'R', 'Scala', 'Kafka', 'Tableau', 'Splunk', 'Java', 'Big Data', 'Spark', 'Data Warehouse', 'Design Experience', 'Docker', 'Python']",15,Booz Allen Hamilton,1733,4,NC,$5B to $10B (USD),"10,000+",Consulting and Business Services,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Data Scientist - Risk Manager - BFS,100000-119999,data_scientist,"['Cash Flow Analysis', 'Swift']",2,Paypal,988,4,DE,$5B to $10B (USD),"10,000+",Banks and Financial Services,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Senior Data Scientist,100000-119999,data_scientist,"['Spring', 'Pig', 'Hive', 'Data Mining', 'Machine Learning', 'Data Management', 'Scripting', 'Hadoop', 'Azure', 'R', 'SQL', 'Tableau', 'Angular', 'Data Science', 'Python', 'Signal Processing']",16,Cubic Corporation,379,4,VA,$1B to $5B (USD),"Less than 10,000",Government,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Senior Data Scientist,100000-119999,data_scientist,"['AI', 'Hive', 'Data Mining', 'Hadoop', 'Power BI', 'Scala', 'R', 'Kafka', 'Azure', 'SAP', 'SAS', 'SQL', 'Tableau', 'Spark', 'Python']",15,Mars,1157,4,NJ,More than $10B (USD),"10,000+",Food and Beverages,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Data Scientist,100000-119999,data_scientist,"['Hive', 'MySQL', 'Spark', 'Hadoop']",4,Diverse Lynx,82,5,WA,Missing,missing,Internet and Software,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Data Scientist,100000-119999,data_scientist,"['Spark', 'Machine Learning', 'R', 'Azure', 'SAS', 'Python']",6,Mosaic North America,594,4,FL,Missing,"10,000+",Consumer Goods and Services,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Senior Data Scientist,100000-119999,data_scientist,"['Pig', 'Hive', 'Ruby', 'Machine Learning', 'Project Management', 'R', 'SAS', 'C/C++', 'SQL', 'Java', 'Spark', 'Python']",12,Northwestern Mutual,2364,4,NY,More than $10B (USD),"Less than 10,000",Banks and Financial Services,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Senior Principal Data Scientist - Machine Learning/AI,100000-119999,data_scientist,"['AI', 'Hive', 'Data Mining', 'Machine Learning', 'Hadoop', 'R', 'SQL', 'Big Data', 'Java', 'Spark', 'Python']",11,Early Warning Services,31,3,AZ,Missing,missing,Not Listed,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Senior Data Scientist,100000-119999,data_scientist,"['Machine Learning', 'R', 'Azure', 'C/C++', 'SQL', 'Apache', 'React', 'C#', 'SPSS', 'JavaScript', 'AI', 'Data Mining', 'SAP', 'Tableau', '.Net', 'Angular', 'NoSQL', 'Python', 'AWS']",19,Raytheon,3166,4,TX,More than $10B (USD),"10,000+",Aerospace and Defense,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Sr. Data Scientist,100000-119999,data_scientist,"['Leadership Experience', 'Continuous Improvement']",2,Universal Consulting Services,23,4,VA,Missing,"Less than 10,000",Consulting and Business Services,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Machine Learning Scientist,100000-119999,data_scientist,"['TensorFlow', 'Big Data', 'Spark', 'Machine Learning', 'Hadoop', 'Scripting', 'R', 'Python']",8,JD.com,8,4,CA,Missing,missing,Not Listed,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Data Scientist, Senior",100000-119999,data_scientist,"['Linux', 'Database Administration', 'IAT', 'DoD 8570', 'R', 'Splunk', 'Confluence', 'IAT Level I', 'Jira', 'TS/SCI Clearance', 'Tableau', 'Data Warehouse', 'Docker', 'AWS']",14,Booz Allen Hamilton,1733,4,VA,$5B to $10B (USD),"10,000+",Consulting and Business Services,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Analytic Consultant 5 (Data Scientist) - Customer Analytics...,100000-119999,data_scientist,"['Machine Learning', 'R', 'SAS', 'SQL', 'Data Science', 'Python', 'Military Experience']",7,Wells Fargo,29963,4,IL,More than $10B (USD),"10,000+",Banks and Financial Services,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Sr. Staff Data Scientist,100000-119999,data_scientist,"['Pig', 'Hive', 'R', 'SQL', 'Cloud Computing', 'Big Data', 'MySQL', 'Jenkins', 'Ruby', 'Hadoop', 'Scala', 'Spark', 'Git', 'NoSQL', 'Python', 'Elasticsearch', 'AWS']",17,Panasonic,179,4,CA,Missing,missing,Not Listed,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campus Graduate – 2019 Data Scientist / Analytics Manager /...,100000-119999,data_scientist,"['Data Mining', 'Machine Learning', 'Project Management', 'R', 'SAS', 'SQL', 'Python']",7,American Express,6037,4,USA,More than $10B (USD),"10,000+",Banks and Financial Services,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Marketing Data Scientist - Contract to Hire,100000-119999,data_scientist,"['Email Marketing', 'R', 'SQL']",3,Harnham,6,5,CA,Missing,"Less than 10,000",Consulting and Business Services,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Junior Data Scientist (USMC),100000-119999,data_scientist,"['Data Mining', 'Machine Learning', 'Power BI', 'R', 'SAS', 'Oracle', 'JSON', 'SQL', 'Tableau', 'Java', 'Big Data', 'Natural Language Processing', 'Supervising Experience', 'MATLAB', 'OOP', 'Python']",16,Logistics Management Institute,44,4,DC,Missing,missing,Not Listed,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Machine Learning and Artificial Intelligence Associate Scien...,100000-119999,data_scientist,"['AI', 'Machine Learning']",2,BASF,2078,4,NY,More than $10B (USD),"10,000+",Industrial Manufacturing,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Data Scientist Lead - Remote Opportunity,100000-119999,data_scientist,"['Data Mining', 'Machine Learning', 'Data Analysis', 'Data Science']",4,Harnham,6,5,CA,Missing,"Less than 10,000",Consulting and Business Services,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Data Scientist,100000-119999,data_scientist,"['Big Data', 'Spark', 'Hadoop', 'R', 'Marketing', 'Python', 'Attribution Modeling', 'SQL', 'AWS']",9,Harnham,6,5,NY,Missing,"Less than 10,000",Consulting and Business Services,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Data Scientist (TS/SCI with Polygraph),100000-119999,data_scientist,"['Machine Learning', 'TS/SCI Clearance', 'Software Development', 'R', 'GIS', 'Python', 'SQL']",7,"Navstar, Inc.",4,4,VA,Missing,missing,Not Listed,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist - Senior,100000-119999,data_scientist,"['JavaScript', 'Machine Learning', 'R', 'SAS', 'Oracle', 'SQL', 'Tableau', '.Net', 'Natural Language Processing', 'C#', 'SPSS', 'Data Analysis', 'CSS', 'Python', 'Intelligence Community Experience']",15,Leidos,653,4,MD,Less than $1B (USD),"10,000+",Aerospace and Defense,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Machine Learning Scientist,100000-119999,data_scientist,"['TensorFlow', 'AI', 'FPGA', 'Machine Learning', 'Python', 'C/C++']",6,Lightmatter,0,0,MA,Missing,missing,Not Listed,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Associate, Data Scientist, Financial Services",100000-119999,data_scientist,"['Linux', 'AI', 'Data Mining', 'Machine Learning', 'Hadoop', 'Scripting', 'R', 'Azure', 'Natural Language Processing', 'Spark', 'OOP', 'Python', 'AWS']",13,KPMG LLP,4776,4,VA,Missing,missing,Consulting and Business Services,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Data Scientist - Global Retailer,100000-119999,data_scientist,"['Quantitative Analysis', 'Data Mining', 'Machine Learning', 'R', 'Python', 'SQL', 'Tableau']",7,Harnham,6,5,CA,Missing,"Less than 10,000",Consulting and Business Services,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Data Scientist / Analytic Consultant 4,100000-119999,data_scientist,"['TensorFlow', 'Hive', 'Machine Learning', 'Sentiment Analytics', 'Natural Language Processing', 'Design Experience', 'Military Experience', 'AI', 'Kafka', 'Spark', 'Python']",11,Wells Fargo,29963,4,TX,More than $10B (USD),"10,000+",Banks and Financial Services,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Data Scientist / Analytic Consultant 4,100000-119999,data_scientist,"['TensorFlow', 'Hive', 'Machine Learning', 'Sentiment Analytics', 'Natural Language Processing', 'Design Experience', 'Military Experience', 'AI', 'Kafka', 'Spark', 'Python']",11,Wells Fargo,29963,4,TX,More than $10B (USD),"10,000+",Banks and Financial Services,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Sr. Data Scientist,100000-119999,data_scientist,"['Leadership Experience', 'Continuous Improvement']",2,UCS Consulting,0,0,VA,Missing,missing,Not Listed,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sr. Applied Data Scientist,100000-119999,data_scientist,"['Natural Language Processing', 'Machine Learning']",2,Wolters Kluwer,559,4,MA,$5B to $10B (USD),"10,000+","Media, News and Publishing",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Data Scientist - IRES - Huntsville,100000-119999,data_scientist,"['Linux', 'Red Hat Enterprise Linux', 'CompTIA Security+', 'R', 'C/C++', 'SQL', 'JSON', 'MCSD', 'C#', 'Ruby', 'Kafka', 'Java', '.Net', 'Shell Scripting', 'Python', 'Elasticsearch']",16,Jacobs,2621,4,AL,More than $10B (USD),"10,000+",Construction,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"Data Scientist, Marketing - Ecommerce",100000-119999,data_scientist,"['Machine Learning', 'Python', 'SQL']",3,Harnham,6,5,CA,Missing,"Less than 10,000",Consulting and Business Services,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Artificial Intelligence Research Scientist,100000-119999,data_scientist,"['Natural Language Processing', 'Data Mining', 'Machine Learning']",3,Accenture,14987,4,CA,More than $10B (USD),"10,000+",Consulting and Business Services,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Lead Data Scientist,100000-119999,data_scientist,"['Data Mining', 'Machine Learning', 'Statisical Analysis']",3,Alion Science and Technology,192,4,VA,Less than $1B (USD),"Less than 10,000",Internet and Software,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Sr. Associate, NLP, Data Scientist",100000-119999,data_scientist,"['TensorFlow', 'Linux', 'Machine Learning', 'Google Cloud Platform', 'Azure', 'Solr', 'SQL', 'Natural Language Processing', 'OOP', 'Threading', 'AI', 'Image Processing', 'Git', 'Python', 'Elasticsearch', 'AWS']",16,KPMG LLP,4776,4,CA,Missing,missing,Consulting and Business Services,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Data Scientist,100000-119999,data_scientist,"['Data Mining', 'Machine Learning', 'Power BI', 'R', 'SAS', 'Oracle', 'JSON', 'SQL', 'Tableau', 'Java', 'Big Data', 'Natural Language Processing', 'Supervising Experience', 'MATLAB', 'OOP', 'Python']",16,Logistics Management Institute,44,4,TX,Missing,missing,Not Listed,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,100000-119999,data_scientist,"['TensorFlow', 'Hive', 'Spark', 'Git', 'NoSQL', 'Hadoop', 'R', 'Python', 'SQL']",9,"Open Systems Technologies, Inc.",36,4,NC,Less than $1B (USD),"Less than 10,000",Consulting and Business Services,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Postdoctoral Research Staff Member (Data Scientist),100000-119999,data_scientist,"['Machine Learning', 'Data Analysis', 'MATLAB', 'Python', 'C/C++', 'Fortran']",6,Lawrence Livermore National Laboratory,111,4,CA,$1B to $5B (USD),"Less than 10,000",Government,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Sr. Associate, Data Scientist",100000-119999,data_scientist,"['Linux', 'AI', 'Data Mining', 'Machine Learning', 'Hadoop', 'Scripting', 'R', 'Azure', 'Natural Language Processing', 'Spark', 'OOP', 'Python', 'AWS']",13,KPMG LLP,4776,4,CO,Missing,missing,Consulting and Business Services,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Senior Data Scientist, Product Performance Analytics",100000-119999,data_scientist,"['R', 'SQL', 'Tableau', 'Python']",4,Wayfair,397,3,MA,$1B to $5B (USD),"Less than 10,000",Internet and Software,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Content Marketer - Data Science and Machine Learning,100000-119999,data_scientist,"['Machine Learning', 'Microsoft Office']",2,IBM,23472,4,CA,Missing,"10,000+",Consulting and Business Services,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Analytic Consultant 5 (Data Scientist) - Customer Analytics...,100000-119999,data_scientist,"['Machine Learning', 'R', 'SAS', 'SQL', 'Data Science', 'Python', 'Military Experience']",7,Wells Fargo,29963,4,MN,More than $10B (USD),"10,000+",Banks and Financial Services,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Analytic Consultant 5 (Data Scientist) - Customer Analytics...,100000-119999,data_scientist,"['Machine Learning', 'R', 'SAS', 'SQL', 'Data Science', 'Python', 'Military Experience']",7,Wells Fargo,29963,4,MN,More than $10B (USD),"10,000+",Banks and Financial Services,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Lead Data Scientist,100000-119999,data_scientist,"['Machine Learning', 'Microsoft Powerpoint', 'Microsoft Office']",3,Fifth Third Bank,1803,4,OH,$5B to $10B (USD),"10,000+",Banks and Financial Services,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"DATA SCIENTIST, MANAGER",100000-119999,data_scientist,"['AI', 'Data Mining', 'Machine Learning', 'Project Management', 'R', 'SAS', 'SQL', 'Tableau', 'Python']",9,UTC,647,4,CT,More than $10B (USD),"10,000+",Aerospace and Defense,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Sr Data Scientist - Advanced Technologies,100000-119999,data_scientist,"['TensorFlow', 'Machine Learning', 'Big Data', 'Node.js', 'NGINX', 'Kubernetes', 'Software Development', 'JavaScript', 'Kafka', 'CI/CD', 'Java', 'Cassandra', 'Spark', 'Git', 'Docker', 'NoSQL', 'Redis', 'Python', 'AWS']",19,Rockwell Collins,857,4,IA,$5B to $10B (USD),"10,000+",Aerospace and Defense,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"Research Scientist, Machine Learning and Intelligence",100000-119999,data_scientist,"['Natural Language Processing', 'AI', 'Data Mining', 'Machine Learning', 'Image Processing', 'C/C++', 'Python']",7,Google,2641,4,NY,More than $10B (USD),"10,000+",Internet and Software,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Machine Learning Scientist,100000-119999,data_scientist,"['TensorFlow', 'Machine Learning', 'Image Processing', 'Python', 'OOP', 'AWS']",6,System1 Biosciences,0,0,CA,Missing,missing,Not Listed,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manager - Cognitive Data Scientist Natural Language Processi...,100000-119999,data_scientist,"['AI', 'Machine Learning', 'Natural Language Processing']",3,KPMG LLP,4776,4,TX,Missing,missing,Consulting and Business Services,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Manager - Cognitive Data Scientist Natural Language Processi...,100000-119999,data_scientist,"['AI', 'Machine Learning', 'Natural Language Processing']",3,KPMG LLP,4776,4,GA,Missing,missing,Consulting and Business Services,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
DATA SCIENTIST,100000-119999,data_scientist,"['Statistical Software', 'Hive', 'Data Mining', 'Microsoft SQL Server', 'Machine Learning', 'Hadoop', 'R', 'SDLC', 'SAS', 'Tableau', 'T-SQL', 'SPSS', 'Python', 'Data Science']",14,Lorven Technologies,0,0,OR,Missing,missing,Not Listed,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
