Job_Title,Queried_Salary,Job_Type,Skill,No_of_Skills,Company,No_of_Reviews,No_of_Stars,Location,Company_Revenue,Company_Employees,Company_Industry,python,sql,machine learning,r,hadoop,tableau,sas,spark,java,Others,CA,NY,VA,TX,MA,IL,WA,MD,DC,NC,Other_states,Consulting and Business Services,Internet and Software,Banks and Financial Services,Health Care,Insurance,Other_industries
Data Engineer,120000-139999,data_engineer,"['Linux', 'Kafka', 'SQL', 'Big Data', 'Java', '.Net', 'S3', 'MySQL', 'MongoDB', 'Spark', 'C#', 'Data Warehouse', 'NoSQL', 'PostgreSQL', 'Python', 'Elasticsearch', 'AWS']",17,PlacePass,0,0,Missing,Missing,missing,Not Listed,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer - MSP,120000-139999,data_engineer,"['Pig', 'TensorFlow', 'Hive', 'R', 'SQL', 'S3', 'Load Balancing', 'Jenkins', 'Hadoop', 'Scala', 'Kafka', 'Java', 'Spark', 'Git', 'Shell Scripting', 'Python', 'AWS']",17,Daugherty Business Solutions,34,4,MN,Missing,missing,Not Listed,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AWS Big Data Engineer,120000-139999,data_engineer,"['Hadoop', 'DynamoDB', 'Scala', 'Java', 'Spark', 'Design Experience', 'Informatica', 'NoSQL', 'Python', 'AWS']",10,,14988,4,OH,Missing,missing,Not Listed,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Data Engineer,120000-139999,data_engineer,"['Hive', 'Test Automation', 'Machine Learning', 'SQL', 'Big Data', 'S3', 'Confluence', 'Hadoop', 'Tableau', 'Spark', 'Data Warehouse', 'REST', 'Python', 'AWS']",14,Atlassian,11,4,CA,Missing,"Less than 10,000",Internet and Software,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Big Data Engineer,120000-139999,data_engineer,"['Pig', 'Hive', 'Hadoop', 'Azure', 'Google Cloud Platform', 'Java', 'Big Data', 'Data Warehouse', 'Software Development', 'AWS']",10,Booz Allen Hamilton,1733,4,DC,$5B to $10B (USD),"10,000+",Consulting and Business Services,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Big Data Engineer,120000-139999,data_engineer,"['Java', 'Spark', 'REST', 'Hadoop', 'Kafka', 'Python', 'Elasticsearch']",7,Zscaler,16,4,GA,Missing,"Less than 10,000",Internet and Software,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Data Engineer,120000-139999,data_engineer,"['Natural Language Processing', 'Spark', 'NoSQL', 'Kafka', 'Python', 'AWS']",6,Lark Health,0,0,Missing,Missing,missing,Not Listed,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,120000-139999,data_engineer,"['S3', 'Spark', 'Machine Learning', 'Design Experience', 'NoSQL', 'Python', 'SQL', 'AWS']",8,AppZen,0,0,Missing,Missing,missing,Not Listed,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Master Data Engineer,120000-139999,data_engineer,"['S3', 'Spark', 'Python', 'Military Experience', 'AWS']",5,Capital One,6791,4,CA,More than $10B (USD),"10,000+",Banks and Financial Services,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
DW Big Data Engineer,120000-139999,data_engineer,"['Pig', 'Hive', 'Hadoop', 'Service-Oriented Architecture', 'HBase', 'SQL', 'Big Data', 'Java', 'Spark', 'REST', 'Python']",11,TVG Network Betfair US,0,0,Missing,Missing,missing,Not Listed,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
